"Time_Iter","Outer_Iter","Inner_Iter",    "rms[P][0]"   ,    "rms[U][0]"   ,    "rms[V][0]"   ,    "rms[T][0]"   ,    "bgs[P][0]"   ,    "bgs[U][0]"   ,    "bgs[V][0]"   ,    "bgs[T][0]"   ,      "HF[0]"     ,    "maxHF[0]"    ,     "Temp[0]"    ,"LinSolIter[0]",  "LinSolRes[0]"  , "Avg_Massflow[0]",   "Avg_Mach[0]"  ,   "Avg_Temp[0]"  ,  "Avg_Press[0]"  , "Avg_Density[0]" , "Avg_Enthalpy[0]","Avg_NormalVel[0]",  "Uniformity[0]" ,"Secondary_Strength[0]","Momentum_Distortion[0]","Secondary_Over_Uniformity[0]","Avg_TotalTemp[0]","Avg_TotalPress[0]","Pressure_Drop[0]",    "rms[T][1]"   ,    "bgs[T][1]"   ,      "HF[1]"     ,    "MaxHF[1]"    ,   "AvgTemp[1]"   
          0,          44,           0,      -2.106987054,      -1.574878246,      -1.749043109,       16.85791072,      0.3304066722,      -1.857436666,      -2.007382703,       12.77212683,  4.231295495e+020,  7.191554906e+020,                 0,              5,      -4.547517722,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       10.96541918,       13.48726625,       61945667.85,                 0,      -5998.249574
          0,          45,           0,      -2.104073044,      -1.575644764,      -1.739905879,       17.16472209,      0.3586225505,      -1.868288562,      -2.026110051,       13.07925665,  8.576915828e+020,  1.456908966e+021,                 0,              5,      -4.545114808,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       11.27226215,       13.79439008,       125399337.8,                 0,      -12484.44098
          0,          46,           0,      -2.098933474,      -1.575556243,      -1.731703194,       17.47154234,      0.4009542925,      -1.885585867,       -2.05090494,       13.38639413,  1.738566904e+021,  2.951662149e+021,                 0,              5,      -4.542704293,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       11.57911202,       14.10152077,         253801288,                 0,      -25603.41298
          0,          47,           0,      -2.092140703,      -1.574540568,      -1.726109772,        17.7783718,      0.4430795408,      -1.908466519,      -2.078905606,       13.69353937,  3.524148469e+021,  5.980346046e+021,                 0,              5,      -4.540289806,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       11.88596888,       14.40865837,       513593938.4,                 0,      -52133.22574
          0,          48,           0,      -2.083926809,      -1.571744315,      -1.720433232,       18.08521034,       0.477747604,      -1.935445071,      -2.106679873,       14.00069247,  7.143639963e+021,  1.211747936e+022,                 0,              5,      -4.537871304,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       12.19283281,       14.71580293,        1039161872,                 0,      -105774.9583
          0,          49,           0,      -2.074054225,      -1.566971387,      -1.714262697,       18.39205762,      0.5030118975,      -1.964934717,      -2.131372316,       14.30785354,  1.448063227e+022,  2.455418265e+022,                 0,              5,      -4.535446915,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       12.49970392,       15.02295453,        2102282090,                 0,       -214220.819
          0,          50,           0,      -2.063900395,      -1.559830632,      -1.712476377,       18.69891353,      0.5196792278,      -1.995724439,      -2.151912714,        14.6150227,  2.935338026e+022,  4.975845173e+022,                 0,              5,       -4.53301552,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       12.80658231,       15.33011322,        4252542242,                 0,      -433435.7931
          0,          51,           0,      -2.052510322,      -1.550257127,      -1.710188916,       19.00577732,      0.5296327335,      -2.027507953,      -2.169361169,       14.92220007,  5.950197249e+022,  1.008410683e+023,                 0,              5,        -4.5305719,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       13.11346809,       15.63727908,        8601222953,                 0,      -876512.2328
          0,          52,           0,      -2.040056054,      -1.537928555,      -1.707022039,       19.31264875,       0.534807623,      -2.060542967,      -2.185874243,       15.22938577,  1.206166509e+023,  2.043799551e+023,                 0,              5,      -4.528114257,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       13.42036137,       15.94445216,  1.739517583e+010,                 0,      -1771962.584
          0,          53,           0,      -2.027762077,      -1.523787447,      -1.704099375,        19.6195272,      0.5366679336,      -2.094978748,      -2.203401324,       15.53657993,  2.445039272e+023,  4.142576991e+023,                 0,              5,       -4.52563776,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       13.72726226,       16.25163256,  3.517685135e+010,                 0,      -3581474.033
          0,          54,           0,      -2.015880813,      -1.508564655,        -1.7016973,       19.92641229,      0.5357091355,      -2.129664568,      -2.223070353,       15.84378271,  4.956408492e+023,  8.397219816e+023,                 0,              5,      -4.523139516,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,        14.0341709,       16.55882034,  7.112899335e+010,                 0,       -7237760.81
